Customer_ID,Order_ID,Date,Product_Category,Region,Sales_Channel,Quantity,Unit_Price,Total_Revenue,Profit_Margin,Net_Profit
CUST-00001,100006,2022-01-26,Smartphones,North America,Online,3,889.48,2668.44,0.19,507.0
CUST-00001,100005,2022-03-30,Laptops,North America,Online,2,1277.23,2554.46,0.28,715.25
CUST-00001,100004,2022-06-28,Accessories,North America,Online,2,43.64,87.28,0.21,18.33
CUST-00001,100003,2022-08-19,Laptops,North America,Distributor,1,1766.9,1766.9,0.4,706.76
CUST-00001,100002,2022-09-24,Laptops,North America,Distributor,1,1361.23,1361.23,0.36,490.04
CUST-00001,100001,2022-12-22,Smartphones,North America,Online,3,756.67,2270.01,0.18,408.6
CUST-00001,100000,2023-01-26,Wearables,North America,Online,1,138.7,138.7,0.38,52.71
CUST-00002,100010,2023-12-29,Wearables,North America,Online,1,389.0,389.0,0.39,151.71
CUST-00002,100009,2024-01-30,Accessories,North America,Distributor,3,108.44,325.32,0.29,94.34
CUST-00002,100008,2024-05-24,Accessories,North America,Online,3,147.82,443.46,0.29,128.6
CUST-00002,100007,2024-07-28,Smartphones,North America,Distributor,3,764.86,2294.58,0.39,894.89
CUST-00003,100012,2024-10-02,Wearables,Europe,Online,3,275.2,825.6,0.4,330.24
CUST-00003,100011,2024-12-15,Accessories,Europe,In-Store,1,50.02,50.02,0.22,11.0
CUST-00004,100018,2024-05-26,Accessories,Europe,Distributor,1,70.53,70.53,0.23,16.22
CUST-00004,100017,2024-08-10,Wearables,Europe,Online,3,108.32,324.96,0.21,68.24
CUST-00004,100016,2024-10-11,Wearables,Europe,Distributor,2,366.34,732.68,0.33,241.78
CUST-00004,100015,2024-11-28,Laptops,Europe,In-Store,1,1766.54,1766.54,0.38,671.29
CUST-00004,100014,2025-02-04,Laptops,Europe,In-Store,2,1272.07,2544.14,0.31,788.68
CUST-00004,100013,2025-02-20,Wearables,Europe,Online,1,162.81,162.81,0.35,56.98
CUST-00005,100026,2022-07-02,Laptops,North America,In-Store,1,1502.57,1502.57,0.34,510.87
CUST-00005,100025,2022-09-16,Laptops,North America,Online,2,804.95,1609.9,0.26,418.57
CUST-00005,100024,2022-12-11,Smartphones,North America,In-Store,2,492.7,985.4,0.41,404.01
